Provider,NumClaims,NumUniqueBeneficiaries,InscClaimAmtReimbursed_Mean,InscClaimAmtReimbursed_Max,DeductibleAmtPaid_Mean,DeductibleAmtPaid_Max,IPAnnualReimbursementAmt_Mean,IPAnnualDeductibleAmt_Mean,OPAnnualReimbursementAmt_Mean,OPAnnualDeductibleAmt_Mean,ClaimDuration_Mean,ClaimDuration_Max,proc_count_Mean,proc_count_Max,diag_count_Mean,diag_count_Max,Age_Mean,RenalDiseaseIndicator_Sum,HasAttendingPhysician_Sum,HasOperatingPhysician_Sum,HasOtherPhysician_Sum,UniquePhysicianCount_Sum,SamePhysicianAllRoles_Sum,IsDeceased_Sum,ChronicCond_Alzheimer_Sum,ChronicCond_Heartfailure_Sum,ChronicCond_KidneyDisease_Sum,ChronicCond_Cancer_Sum,ChronicCond_ObstrPulmonary_Sum,ChronicCond_Depression_Sum,ChronicCond_Diabetes_Sum,ChronicCond_IschemicHeart_Sum,ChronicCond_Osteoporasis_Sum,ChronicCond_rheumatoidarthritis_Sum,ChronicCond_stroke_Sum,ClaimsPerBeneficiary,ReimbursementToDeductibleRatio,DeceasedPatientRate
PRV51015,8,7,87.5,200,0.0,0.0,1186.25,267.0,1445.0,263.75,0.375,3,0.0,0,3.125,9,71.625,3,8,1,4,11,1,0,4,7,4,3,4,7,8,7,3,3,1,1.1428571428571428,87.5,0.0
PRV51016,6,6,28.333333333333332,90,0.0,0.0,0.0,0.0,878.3333333333334,295.0,0.3333333333333333,2,0.0,0,3.5,9,70.5,1,6,1,0,6,1,0,2,4,4,3,2,2,5,5,2,3,1,1.0,28.333333333333332,0.0
PRV51017,515,420,277.126213592233,3300,2.0388349514563107,100.0,3322.7184466019417,385.4601941747573,2370.990291262136,689.3009708737864,1.3572815533980582,20,0.003883495145631068,1,2.704854368932039,10,72.14368932038835,85,513,95,201,668,103,5,216,294,215,58,159,210,351,386,184,128,47,1.2261904761904763,91.19488817891373,0.011904761904761904
PRV51021,257,208,1357.3151750972763,57000,122.53696498054475,1068.0,4886.964980544747,582.7859922178989,2695.0972762645915,770.0466926070039,2.0,20,0.08560311284046693,3,3.4280155642023344,10,72.58365758754864,57,256,53,82,362,23,1,94,145,122,60,103,116,194,196,70,85,27,1.2355769230769231,10.98711770449463,0.004807692307692308
PRV51023,36,35,1822.5,13000,239.55555555555554,1068.0,5320.277777777777,843.4444444444445,2475.5555555555557,769.4444444444445,3.6666666666666665,20,0.1388888888888889,1,4.555555555555555,9,72.75,10,36,12,19,50,12,0,16,21,16,5,10,16,21,30,9,8,5,1.0285714285714285,7.57621247113164,0.0
PRV51024,39,38,1642.3076923076924,13000,248.76923076923077,1068.0,4566.666666666667,629.8461538461538,1973.076923076923,668.7179487179487,1.641025641025641,20,0.1794871794871795,1,3.5128205128205128,10,68.02564102564102,12,39,13,12,52,9,0,15,21,23,5,14,16,30,29,11,14,6,1.0263157894736843,6.575300277178934,0.0
PRV51025,87,76,1360.344827586207,17000,164.183908045977,1068.0,4823.563218390805,552.4137931034483,2288.9655172413795,621.3793103448276,2.1724137931034484,28,0.13793103448275862,2,3.67816091954023,9,73.51724137931035,19,86,26,34,119,21,0,28,47,40,13,28,41,64,62,31,26,6,1.144736842105263,8.235335049752976,0.0
PRV51026,76,56,261.05263157894734,3300,4.473684210526316,100.0,3971.0526315789475,461.05263157894734,1811.578947368421,680.3947368421053,1.0921052631578947,20,0.0,0,2.4078947368421053,9,69.5657894736842,12,76,11,31,96,17,1,30,33,30,11,15,39,56,50,17,23,6,1.3571428571428572,47.692307692307686,0.017857142857142856
PRV51027,53,44,563.0188679245283,3300,0.0,0.0,6231.132075471698,705.2830188679245,3564.5283018867926,947.1698113207547,2.1320754716981134,20,0.0,0,2.4716981132075473,9,73.0,16,53,11,17,55,23,1,23,36,27,9,16,30,41,43,10,13,8,1.2045454545454546,563.0188679245283,0.022727272727272728
PRV51029,93,79,329.6774193548387,3300,1.7204301075268817,90.0,3849.032258064516,409.03225806451616,1660.967741935484,493.1182795698925,0.6989247311827957,20,0.0,0,2.838709677419355,9,70.91397849462365,13,93,18,31,121,16,1,32,45,33,9,29,30,62,66,17,28,13,1.1772151898734178,121.18577075098814,0.012658227848101266
PRV51030,171,145,4326.081871345029,57000,507.29824561403507,1068.0,7453.333333333333,1009.4035087719299,2499.1812865497077,665.672514619883,3.198830409356725,23,0.3333333333333333,3,5.152046783625731,10,71.85380116959064,47,171,59,35,201,60,2,73,111,81,30,65,76,125,138,48,59,13,1.1793103448275861,8.51091245872594,0.013793103448275862
PRV51031,185,157,1944.4324324324325,68000,163.48108108108107,1068.0,6142.648648648648,709.9027027027028,1868.0,613.2432432432432,2.0,20,0.13513513513513514,2,3.362162162162162,10,72.63243243243244,39,185,40,63,255,28,1,90,128,89,19,71,81,130,151,85,54,19,1.178343949044586,11.82161753590325,0.006369426751592357
PRV51032,23,21,235.65217391304347,2900,2.1739130434782608,40.0,8186.086956521739,1099.6521739130435,1402.608695652174,423.9130434782609,0.9130434782608695,12,0.0,0,2.347826086956522,6,69.43478260869566,3,23,5,9,28,7,1,9,15,10,5,8,11,16,16,4,5,3,1.0952380952380953,74.24657534246575,0.047619047619047616
PRV51035,30,25,1085.3333333333333,29000,47.6,1068.0,3605.3333333333335,356.0,1332.0,439.3333333333333,2.2666666666666666,20,0.03333333333333333,1,2.4,9,73.76666666666667,8,30,9,10,39,9,0,8,18,18,4,11,18,22,24,10,7,8,1.2,22.33196159122085,0.0
PRV51036,278,131,269.3525179856115,4400,5.071942446043166,100.0,5654.3165467625895,585.0935251798561,2070.5755395683454,512.0863309352518,1.0503597122302157,20,0.0,0,2.615107913669065,10,72.65827338129496,44,278,51,119,300,123,0,99,159,109,31,95,132,201,201,95,82,19,2.122137404580153,44.36018957345971,0.0
PRV51037,454,206,753.8105726872246,23000,56.220264317180614,1068.0,3989.911894273128,644.7136563876652,2154.0308370044054,573.7444933920705,1.5330396475770924,20,0.028634361233480177,3,2.986784140969163,10,71.88546255506608,66,451,88,157,536,123,10,195,271,181,104,155,205,311,363,168,132,29,2.203883495145631,13.173839402571407,0.04854368932038835
PRV51038,141,107,1882.9078014184397,17000,221.21985815602838,1068.0,4961.276595744681,628.6808510638298,2191.1347517730496,622.9787234042553,1.7801418439716312,24,0.10638297872340426,3,3.3191489361702127,10,71.56028368794327,32,141,32,43,192,19,1,70,88,65,27,43,63,109,112,46,46,14,1.3177570093457944,8.473175246545175,0.009345794392523364
PRV51040,86,69,865.9302325581396,21000,102.13953488372093,1068.0,7919.53488372093,574.7441860465116,2433.0232558139537,601.8604651162791,1.6627906976744187,33,0.08139534883720931,2,3.453488372093023,9,71.16279069767442,13,84,20,28,105,24,1,35,54,33,7,25,41,63,66,21,20,11,1.2463768115942029,8.395715896279594,0.014492753623188406
PRV51041,34,31,217.94117647058823,3200,7.9411764705882355,100.0,1373.5294117647059,251.2941176470588,2287.6470588235293,613.8235294117648,2.3529411764705883,20,0.0,0,2.5294117647058822,8,70.41176470588235,3,34,6,11,38,11,0,16,17,7,10,10,15,22,24,7,9,2,1.096774193548387,24.375,0.0
PRV51042,142,128,338.38028169014086,3300,2.183098591549296,100.0,4791.478873239436,488.8732394366197,2390.4225352112676,683.943661971831,1.232394366197183,20,0.0,0,2.4859154929577465,9,72.59859154929578,22,142,35,55,209,17,0,50,74,58,20,41,56,87,108,33,38,13,1.109375,106.30530973451327,0.0
PRV51043,23,20,194.7826086956522,1100,0.0,0.0,3136.9565217391305,371.4782608695652,1605.2173913043478,550.4347826086956,0.0,0,0.0,0,1.9130434782608696,7,74.17391304347827,1,23,2,10,26,7,0,8,16,7,3,8,9,18,15,9,5,0,1.15,194.7826086956522,0.0
PRV51044,59,39,361.52542372881356,3300,2.2033898305084745,100.0,3621.6949152542375,367.1186440677966,2770.508474576271,968.1355932203389,2.152542372881356,20,0.0,0,2.389830508474576,9,69.15254237288136,8,59,12,27,59,34,0,22,34,30,7,19,22,35,50,22,21,4,1.5128205128205128,112.85714285714286,0.0
PRV51045,31,29,270.64516129032256,3300,1.2903225806451613,40.0,3838.3870967741937,516.7741935483871,1972.9032258064517,548.0645161290323,2.2580645161290325,20,0.0,0,2.6451612903225805,9,71.3225806451613,6,31,6,15,38,10,0,16,17,15,3,15,13,23,23,6,6,2,1.0689655172413792,118.16901408450705,0.0
PRV51046,38,26,2878.157894736842,38000,227.47368421052633,1068.0,5885.789473684211,562.1052631578947,2156.5789473684213,673.1578947368421,1.631578947368421,20,0.13157894736842105,1,3.473684210526316,9,72.07894736842105,4,38,12,17,46,15,0,14,21,12,13,15,18,31,35,15,17,3,1.4615384615384615,12.597327804653306,0.0
PRV51047,11,11,230.0,1300,0.0,0.0,4106.363636363636,661.0909090909091,1662.7272727272727,692.7272727272727,3.090909090909091,20,0.0,0,2.0,4,70.54545454545455,0,11,1,6,13,4,0,3,6,4,0,4,4,7,7,3,4,1,1.0,230.0,0.0
PRV51048,38,33,728.9473684210526,7000,114.52631578947368,1068.0,4223.684210526316,449.6842105263158,2144.4736842105262,560.7894736842105,0.6052631578947368,10,0.07894736842105263,1,2.9473684210526314,10,70.28947368421052,4,38,7,13,44,11,0,22,22,14,5,13,20,32,31,8,19,1,1.1515151515151516,6.309794988610478,0.0
PRV51049,71,65,305.9154929577465,3300,2.676056338028169,100.0,2363.6619718309857,530.9859154929577,3230.9859154929577,1044.0845070422536,1.7887323943661972,20,0.0,0,2.5774647887323945,8,70.64788732394366,17,71,13,24,89,15,0,33,45,30,13,34,33,49,44,22,21,7,1.0923076923076922,83.2183908045977,0.0
PRV51052,46,37,669.5652173913044,9000,51.0,1068.0,2940.4347826086955,417.9130434782609,2126.7391304347825,499.3478260869565,2.282608695652174,20,0.021739130434782608,1,3.282608695652174,9,71.56521739130434,9,46,8,13,52,12,0,15,29,18,6,12,19,27,32,15,13,5,1.2432432432432432,12.876254180602007,0.0
PRV51053,1,1,8000.0,8000,1068.0,1068.0,8000.0,1068.0,90.0,0.0,5.0,5,1.0,1,9.0,9,68.0,1,1,1,1,2,0,0,0,1,1,0,0,1,0,1,0,0,0,1.0,7.483629560336763,0.0
PRV51054,57,40,265.43859649122805,1900,2.456140350877193,100.0,2494.7368421052633,206.10526315789474,2455.964912280702,875.7894736842105,2.3508771929824563,20,0.0,0,2.491228070175439,9,70.33333333333333,9,57,9,20,64,20,0,21,28,25,2,20,24,29,29,6,7,6,1.425,76.80203045685279,0.0
PRV51055,22,22,983.6363636363636,16000,100.27272727272727,1068.0,5162.272727272727,436.90909090909093,1344.090909090909,502.27272727272725,0.5909090909090909,6,0.09090909090909091,1,3.6363636363636362,9,68.72727272727273,5,22,5,8,24,9,0,10,15,8,4,8,13,11,17,7,7,3,1.0,9.712746858168762,0.0
PRV51056,22,21,668.1818181818181,5000,97.54545454545455,1068.0,6709.545454545455,1019.4545454545455,3560.4545454545455,961.3636363636364,0.7272727272727273,5,0.09090909090909091,2,2.8181818181818183,9,76.68181818181819,7,22,6,13,34,6,0,10,13,15,5,6,12,20,18,12,6,5,1.0476190476190477,6.780442804428044,0.0
PRV51057,5,4,1366.0,3300,0.0,0.0,12000.0,427.2,3138.0,874.0,0.0,0,0.0,0,4.0,9,78.0,0,5,2,3,5,4,0,0,4,1,2,1,0,1,5,0,2,0,1.25,1366.0,0.0
PRV51058,83,75,1289.5180722891566,57000,66.74698795180723,1068.0,5430.240963855422,628.0481927710844,2156.144578313253,663.9759036144578,1.3012048192771084,20,0.060240963855421686,2,3.3012048192771086,10,73.43373493975903,14,83,15,36,115,11,0,31,44,34,9,23,40,62,66,31,26,9,1.1066666666666667,19.034323314956428,0.0
PRV51059,96,82,4386.041666666667,57000,280.625,1068.0,11978.854166666666,871.7916666666666,2192.0833333333335,394.7916666666667,2.4791666666666665,35,0.25,3,4.083333333333333,10,74.11458333333333,18,96,26,30,145,5,0,31,62,38,15,29,37,62,66,28,26,10,1.170731707317073,15.574049415594024,0.0
PRV51060,42,42,1040.7142857142858,14000,127.14285714285714,1068.0,3784.285714285714,584.8571428571429,1463.5714285714287,562.8571428571429,2.3095238095238093,20,0.0,0,3.4047619047619047,9,71.47619047619048,8,41,6,12,55,3,0,16,25,19,6,16,20,33,30,8,13,4,1.0,8.121516164994427,0.0
PRV51061,145,67,378.8965517241379,6700,9.158620689655173,1068.0,4060.0,522.951724137931,3303.3793103448274,844.0689655172414,2.393103448275862,20,0.013793103448275862,2,2.5517241379310347,9,76.93103448275862,30,144,28,66,152,72,0,36,62,58,21,39,67,105,104,48,37,12,2.1641791044776117,37.29803122878479,0.0
PRV51062,397,166,386.3476070528967,25000,9.934508816120907,1068.0,7072.493702770781,629.5012594458439,2619.5465994962215,748.5642317380352,1.5969773299748111,20,0.012594458438287154,2,2.7455919395465993,10,72.77833753148614,107,397,72,143,553,50,0,175,241,190,68,120,204,295,283,153,101,51,2.391566265060241,35.33287260999769,0.0
PRV51063,149,115,343.02013422818794,3300,1.0738255033557047,70.0,4218.993288590604,344.0536912751678,3000.4026845637586,681.0402684563759,1.610738255033557,20,0.0,0,2.51006711409396,10,69.38255033557047,35,149,25,0,168,6,1,63,91,68,19,44,65,105,116,38,41,16,1.2956521739130435,165.40453074433657,0.008695652173913044
PRV51064,303,227,1189.1749174917493,37000,128.54125412541254,1068.0,4816.732673267326,574.6930693069307,2739.1419141914193,734.3894389438943,1.9504950495049505,29,0.0858085808580858,3,3.3795379537953796,10,72.92739273927393,63,303,66,115,399,62,1,110,191,139,39,107,145,221,239,101,92,41,1.3348017621145374,9.17989350589794,0.004405286343612335
PRV51065,28,26,2734.6428571428573,11000,347.2142857142857,1068.0,5653.214285714285,719.8571428571429,1754.2857142857142,580.7142857142857,2.9285714285714284,20,0.32142857142857145,2,4.964285714285714,10,75.28571428571429,3,28,11,6,40,4,0,12,19,10,1,9,16,20,23,6,5,7,1.0769230769230769,7.8533333333333335,0.0
PRV51066,24,21,1032.9166666666667,15000,93.16666666666667,1068.0,5000.0,442.1666666666667,1150.0,563.3333333333334,1.0833333333333333,20,0.08333333333333333,1,3.2083333333333335,10,68.54166666666667,4,24,8,9,28,10,1,12,14,7,2,6,7,13,17,7,6,2,1.1428571428571428,10.969026548672566,0.047619047619047616
PRV51067,58,49,5767.586206896552,83000,225.79310344827587,1068.0,12108.965517241379,736.551724137931,1909.655172413793,341.8965517241379,2.310344827586207,23,0.22413793103448276,3,3.9482758620689653,10,68.03448275862068,13,58,14,22,74,15,0,17,37,25,12,14,33,41,43,21,15,3,1.183673469387755,25.431047590086663,0.0
PRV51068,261,214,548.8888888888889,19000,34.42145593869732,1068.0,2822.4137931034484,410.68199233716473,1907.9310344827586,572.2528735632184,1.3754789272030652,20,0.011494252873563218,1,2.89272030651341,9,70.6896551724138,34,261,53,100,334,64,3,99,150,101,39,72,105,186,182,78,76,31,1.219626168224299,15.495943753380205,0.014018691588785047
PRV51070,99,69,1266.7676767676767,22000,110.9090909090909,1068.0,5531.313131313132,528.6060606060606,2945.050505050505,791.3131313131313,1.9090909090909092,20,0.06060606060606061,3,3.01010101010101,10,69.93939393939394,18,99,19,35,145,5,0,29,54,36,17,23,38,70,74,24,16,12,1.434782608695652,11.319613683545446,0.0
PRV51071,24,24,356.25,3200,2.0833333333333335,30.0,4195.833333333333,267.0,2279.1666666666665,440.8333333333333,2.0833333333333335,20,0.0,0,2.625,9,68.41666666666667,1,24,3,7,28,4,0,12,14,8,2,9,14,18,21,10,5,4,1.0,115.54054054054053,0.0
PRV51072,212,160,562.122641509434,14000,57.443396226415096,1068.0,4227.924528301887,634.0188679245283,2049.622641509434,600.2358490566038,1.5377358490566038,20,0.02830188679245283,1,3.150943396226415,10,72.28301886792453,35,211,36,80,293,26,4,76,118,94,25,75,74,157,160,73,70,18,1.325,9.618240516545601,0.025
PRV51074,39,39,1055.6410256410256,15000,138.97435897435898,1068.0,5348.717948717948,450.97435897435895,1971.7948717948718,662.8205128205128,1.8974358974358974,20,0.02564102564102564,1,3.6923076923076925,9,72.8974358974359,5,39,7,17,59,0,0,15,23,18,6,13,18,28,34,14,10,1,1.0,7.54167429932222,0.0
PRV51075,17,13,502.94117647058823,3000,4.117647058823529,70.0,2450.0,188.47058823529412,2908.823529411765,761.7647058823529,1.1764705882352942,20,0.0,0,2.3529411764705883,8,76.58823529411765,2,17,4,8,18,9,0,3,6,4,7,4,10,14,16,3,8,1,1.3076923076923077,98.27586206896552,0.0
PRV51076,29,27,352.7586206896552,3300,1.7241379310344827,50.0,4734.137931034483,532.8275862068965,2123.448275862069,566.551724137931,1.1724137931034482,20,0.0,0,2.5172413793103448,9,75.72413793103448,6,29,4,11,37,6,1,13,17,12,8,5,11,22,26,9,11,4,1.0740740740740742,129.49367088607596,0.037037037037037035
PRV51077,33,30,6192.424242424242,56000,491.5151515151515,1068.0,9130.30303030303,1035.6363636363637,2504.5454545454545,781.2121212121212,4.181818181818182,20,0.24242424242424243,2,5.0606060606060606,10,70.36363636363636,10,33,9,6,46,2,0,16,24,20,5,12,21,28,29,16,13,4,1.1,12.573063434442872,0.0
PRV51078,23,23,3403.0434782608695,16000,375.82608695652175,1068.0,4907.391304347826,650.0869565217391,952.6086956521739,370.8695652173913,2.652173913043478,21,0.34782608695652173,2,4.913043478260869,10,70.6086956521739,4,23,8,6,32,3,0,7,14,7,3,8,10,16,16,7,5,4,1.0,9.030806507442021,0.0
PRV51081,200,131,620.4,48000,35.84,1068.0,4745.05,421.86,2594.9,767.15,1.62,20,0.045,4,3.04,9,72.27,51,198,40,1,213,25,1,96,128,104,17,54,87,134,164,57,55,27,1.5267175572519085,16.840390879478825,0.007633587786259542
PRV51082,34,31,160.88235294117646,1000,2.0588235294117645,70.0,6767.058823529412,376.94117647058823,5270.882352941177,601.0294117647059,1.1764705882352942,20,0.0,0,2.588235294117647,8,72.67647058823529,7,34,4,13,37,12,0,14,15,13,2,6,12,29,22,8,7,3,1.096774193548387,52.59615384615385,0.0
PRV51083,90,81,201.11111111111111,3300,1.5555555555555556,40.0,4015.8888888888887,401.2,2090.0,519.1111111111111,1.3777777777777778,20,0.0,0,2.577777777777778,9,74.8,13,90,17,31,118,16,0,37,55,43,13,28,47,65,73,30,23,10,1.1111111111111112,78.69565217391305,0.0
PRV51084,110,85,1959.8181818181818,45000,199.0,1068.0,5070.0,591.6363636363636,1378.0,396.6363636363636,1.6727272727272726,28,0.12727272727272726,2,3.3363636363636364,9,72.42727272727272,10,110,24,44,142,30,0,51,65,42,9,29,38,87,82,28,43,14,1.2941176470588236,9.799090909090909,0.0
PRV51086,139,115,3209.856115107914,57000,238.61870503597123,1068.0,6954.3165467625895,613.2086330935252,2327.1942446043167,817.2661870503597,2.7985611510791366,20,0.17266187050359713,2,4.2086330935251794,10,74.69064748201438,31,139,41,54,161,56,2,46,79,66,21,47,63,100,109,34,39,10,1.208695652173913,13.395682589245505,0.017391304347826087
PRV51089,228,197,1012.719298245614,41000,82.0,1068.0,6256.798245614035,607.9824561403509,2025.482456140351,612.4122807017544,1.6929824561403508,20,0.07456140350877193,2,3.1140350877192984,10,71.03947368421052,53,227,46,84,322,26,2,77,129,103,33,68,102,152,169,79,65,24,1.1573604060913705,12.20143732826041,0.01015228426395939
PRV51090,7,7,832.8571428571429,3300,8.571428571428571,60.0,714.2857142857143,152.57142857142858,2831.4285714285716,735.7142857142857,5.714285714285714,20,0.0,0,2.4285714285714284,5,71.71428571428571,0,7,1,1,7,1,0,1,2,2,3,1,2,6,5,3,5,0,1.0,87.01492537313433,0.0
PRV51091,44,44,210.6818181818182,2100,1.8181818181818181,80.0,7451.363636363636,715.8181818181819,2429.090909090909,629.0454545454545,0.9318181818181818,20,0.0,0,3.090909090909091,10,69.02272727272727,5,44,6,23,67,2,1,12,29,14,5,15,24,29,36,12,16,6,1.0,74.75806451612902,0.022727272727272728
PRV51093,9,9,1523.3333333333333,11000,237.33333333333334,1068.0,4688.888888888889,593.3333333333334,900.0,326.6666666666667,1.4444444444444444,11,0.2222222222222222,1,4.0,9,75.55555555555556,1,9,4,4,13,3,0,3,4,4,1,4,4,6,8,4,3,1,1.0,6.391608391608391,0.0
PRV51096,5,5,640.0,2100,20.0,100.0,4800.0,854.4,3372.0,1004.0,4.0,20,0.0,0,1.6,3,85.2,2,5,0,2,7,0,0,3,4,3,0,1,3,4,3,2,1,0,1.0,30.476190476190474,0.0
PRV51097,125,71,355.36,3500,1.84,90.0,3302.88,397.824,3009.44,768.16,1.744,20,0.0,0,2.584,8,70.816,28,125,22,54,125,65,0,47,51,42,18,34,41,90,95,39,24,9,1.7605633802816902,125.12676056338029,0.0
PRV51098,4,4,75.0,200,0.0,0.0,15500.0,1335.0,2297.5,580.0,0.0,0,0.0,0,3.25,8,81.75,2,4,0,2,4,2,0,0,4,2,1,2,2,4,4,1,3,1,1.0,75.0,0.0
PRV51100,5,5,15600.0,33000,1068.0,1068.0,15738.0,1068.0,742.0,236.0,6.0,9,0.8,1,8.6,10,70.4,1,5,4,2,10,0,1,1,4,2,0,1,1,3,4,0,2,0,1.0,14.593077642656688,0.2
PRV51101,3,3,5533.333333333333,13000,1068.0,1068.0,9200.0,1780.0,173.33333333333334,110.0,3.3333333333333335,6,0.3333333333333333,1,7.333333333333333,9,57.0,1,3,1,0,3,1,0,2,3,3,0,1,1,2,3,2,1,1,1.0,5.176177112566261,0.0
PRV51102,12,11,12333.333333333334,47000,1068.0,1068.0,14833.333333333334,1424.0,739.1666666666666,153.33333333333334,4.0,10,0.9166666666666666,2,8.333333333333334,10,79.83333333333333,3,12,8,3,20,2,0,4,8,8,1,3,4,9,11,1,6,2,1.0909090909090908,11.537262238852511,0.0
PRV51103,6,4,73.33333333333333,200,10.0,60.0,1333.3333333333333,178.0,1138.3333333333333,478.3333333333333,0.0,0,0.0,0,1.3333333333333333,2,76.66666666666667,0,5,0,2,5,2,0,3,4,6,0,3,5,6,6,4,6,0,1.5,6.666666666666666,0.0
PRV51104,12,9,158.33333333333334,700,9.166666666666666,100.0,2750.0,356.0,1849.1666666666667,405.0,1.1666666666666667,14,0.0,0,2.3333333333333335,6,78.91666666666667,2,12,0,6,12,6,0,7,10,3,0,6,5,9,11,5,4,0,1.3333333333333333,15.57377049180328,0.0
PRV51105,12,12,545.0,1800,0.0,0.0,8048.333333333333,534.0,4275.0,974.1666666666666,3.3333333333333335,20,0.0,0,2.3333333333333335,4,76.08333333333333,2,12,2,4,13,4,0,6,10,7,3,4,5,11,8,4,3,0,1.0,545.0,0.0
PRV51108,19,19,8210.526315789473,22000,1011.7894736842105,1068.0,13471.052631578947,2184.4210526315787,2044.2105263157894,477.89473684210526,5.2631578947368425,16,0.3157894736842105,2,7.578947368421052,9,71.89473684210526,4,19,5,0,21,3,0,11,13,13,4,11,9,16,17,10,4,5,1.0,8.106844047185989,0.0
PRV51109,3,3,6000.0,8000,1068.0,1068.0,7833.333333333333,1780.0,1070.0,676.6666666666666,6.333333333333333,9,1.3333333333333333,2,8.666666666666666,9,56.0,0,3,3,0,5,1,0,2,2,3,0,2,3,3,3,3,3,1,1.0,5.612722170252573,0.0
PRV51110,5,5,5400.0,9000,1068.0,1068.0,5456.0,1281.6,1188.0,274.0,10.2,28,0.8,1,9.4,10,67.6,2,5,4,0,8,1,0,3,4,4,0,1,4,5,5,1,1,0,1.0,5.051449953227316,0.0
