Provider,IP_NumClaims,IP_NumBeneficiaries,IP_AvgReimbursement,IP_TotalReimbursement,IP_MaxReimbursement,IP_StdReimbursement,IP_MedianReimbursement,IP_AvgDeductible,IP_TotalDeductible,IP_AvgClaimDuration,IP_TotalClaimDuration,IP_MaxClaimDuration,IP_StdClaimDuration,IP_AvgAdmissionDuration,IP_TotalAdmissionDuration,IP_MaxAdmissionDuration,IP_StdAdmissionDuration,IP_NumAttendingPhysicians,IP_NumOperatingPhysicians,IP_NumOtherPhysicians,IP_ClaimsPerBeneficiary,IP_ReimbursementPerDay,IP_ReimbursementPerBeneficiary,IP_TotalPhysicians,IP_TotalUniqueDiagnoses,IP_TotalUniqueProcedures,OP_NumClaims,OP_NumBeneficiaries,OP_AvgReimbursement,OP_TotalReimbursement,OP_MaxReimbursement,OP_StdReimbursement,OP_MedianReimbursement,OP_AvgDeductible,OP_TotalDeductible,OP_AvgClaimDuration,OP_TotalClaimDuration,OP_MaxClaimDuration,OP_StdClaimDuration,OP_NumAttendingPhysicians,OP_NumOperatingPhysicians,OP_NumOtherPhysicians,OP_ClaimsPerBeneficiary,OP_ReimbursementPerDay,OP_ReimbursementPerBeneficiary,OP_TotalUniqueDiagnoses,OP_TotalUniqueProcedures,PotentialFraud
PRV51027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,44.0,563.0188679245283,29840.0,3300.0,1044.0446219937528,60.0,0.0,0.0,2.1320754716981134,113.0,20.0,5.8178694747273,10.0,6.0,5.0,1.2045454545454546,264.070796460177,678.1818181818181,122.0,0.0,0
PRV51029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,79.0,329.6774193548387,30660.0,3300.0,618.3119580109661,80.0,1.7204301075268817,160.0,0.6989247311827957,65.0,20.0,3.263050540710264,38.0,10.0,17.0,1.1772151898734178,471.6923076923077,388.1012658227848,239.0,0.0,0
PRV51030,82.0,71.0,8604.878048780487,705600.0,57000.0,8114.731344891162,6000.0,1068.0,86508.0,4.621951219512195,379.0,23.0,3.7569367739578765,4.621951219512195,379.0,23.0,3.7569367739578765,1.0,1.0,0.0,1.1549295774647887,1861.7414248021107,9938.028169014084,2.0,543.0,48.0,89.0,78.0,383.82022471910113,34160.0,3300.0,719.4308129252685,90.0,2.696629213483146,240.0,1.8876404494382022,168.0,20.0,5.5359120999475095,45.0,11.0,23.0,1.141025641025641,203.33333333333334,437.94871794871796,198.0,0.0,0
PRV51031,28.0,26.0,11750.0,329000.0,68000.0,13164.556792978468,7500.0,1068.0,29904.0,5.535714285714286,155.0,18.0,4.962691495378983,5.535714285714286,155.0,18.0,4.962691495378983,2.0,2.0,0.0,1.0769230769230769,2122.5806451612902,12653.846153846154,4.0,223.0,23.0,157.0,135.0,195.6687898089172,30720.0,2300.0,365.13129687220373,70.0,2.1656050955414012,340.0,1.3694267515923566,215.0,20.0,4.674380014016149,58.0,14.0,28.0,1.162962962962963,142.88372093023256,227.55555555555554,318.0,0.0,0
PRV51032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,235.65217391304347,5420.0,2900.0,596.2063865273236,80.0,2.1739130434782608,50.0,0.9130434782608695,21.0,12.0,2.7454597806405077,10.0,4.0,8.0,1.0952380952380953,258.0952380952381,258.0952380952381,50.0,0.0,0
PRV51035,1.0,1.0,29000.0,29000.0,29000.0,0.0,29000.0,1068.0,1068.0,14.0,14.0,14.0,0.0,14.0,14.0,14.0,0.0,1.0,1.0,0.0,1.0,2071.4285714285716,29000.0,2.0,9.0,1.0,29.0,24.0,122.75862068965517,3560.0,700.0,162.9832715281834,60.0,12.413793103448276,360.0,1.8620689655172413,54.0,20.0,5.255773274158581,17.0,6.0,8.0,1.2083333333333333,65.92592592592592,148.33333333333334,60.0,0.0,0
PRV51036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,131.0,269.3525179856115,74880.0,4400.0,579.1512632739048,70.0,5.071942446043166,1410.0,1.0503597122302157,292.0,20.0,4.002388710958205,5.0,3.0,4.0,2.122137404580153,256.43835616438355,571.6030534351145,591.0,0.0,0
PRV51037,23.0,21.0,9304.347826086956,214000.0,23000.0,5849.901184936185,7000.0,1068.0,24564.0,4.521739130434782,104.0,17.0,4.1326808954236,4.565217391304348,105.0,17.0,4.099069594615584,1.0,1.0,0.0,1.0952380952380953,2038.095238095238,10190.47619047619,2.0,167.0,12.0,431.0,202.0,297.51740139211137,128230.0,3300.0,579.1863651940712,80.0,2.2273781902552203,960.0,1.3735498839907192,592.0,20.0,4.686660552724004,2.0,2.0,1.0,2.133663366336634,216.60472972972974,634.8019801980198,872.0,0.0,1
PRV51038,30.0,26.0,7653.333333333333,229600.0,17000.0,4210.637869060674,7000.0,1068.0,30972.0,4.033333333333333,121.0,24.0,4.2789245614171385,4.033333333333333,121.0,24.0,4.2789245614171385,2.0,2.0,1.0,1.1538461538461537,1897.5206611570247,8830.76923076923,5.0,199.0,14.0,111.0,83.0,323.3333333333333,35890.0,3300.0,631.6620692244942,90.0,1.981981981981982,220.0,1.1711711711711712,130.0,20.0,3.8585769253205116,43.0,14.0,21.0,1.3373493975903614,276.0769230769231,432.4096385542169,226.0,0.0,0
PRV51040,9.0,8.0,7000.0,63000.0,21000.0,7681.145747868608,5000.0,1068.0,8544.0,10.555555555555555,95.0,33.0,11.94896555262328,10.555555555555555,95.0,33.0,11.94896555262328,4.0,3.0,2.0,1.125,663.1578947368421,7875.0,9.0,67.0,7.0,77.0,62.0,148.96103896103895,11470.0,1600.0,250.15039905279934,60.0,3.116883116883117,240.0,0.6233766233766234,48.0,17.0,2.9381293773194184,13.0,6.0,10.0,1.2419354838709677,238.95833333333334,185.0,202.0,0.0,0
PRV51041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,217.94117647058823,7410.0,3200.0,562.4232171797465,60.0,7.9411764705882355,270.0,2.3529411764705883,80.0,20.0,6.29998726762146,9.0,4.0,5.0,1.096774193548387,92.625,239.03225806451613,80.0,0.0,0
PRV51042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,128.0,338.38028169014086,48050.0,3300.0,625.7915694564421,90.0,2.183098591549296,310.0,1.232394366197183,175.0,20.0,4.517366792390155,52.0,27.0,27.0,1.109375,274.57142857142856,375.390625,311.0,0.0,0
PRV51043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,194.7826086956522,4480.0,1100.0,297.6402582315741,60.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,1.15,0.0,224.0,44.0,0.0,0
PRV51044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,39.0,361.52542372881356,21330.0,3300.0,633.149798583193,100.0,2.2033898305084745,130.0,2.152542372881356,127.0,20.0,5.653236971194815,1.0,1.0,1.0,1.5128205128205128,167.95275590551182,546.9230769230769,132.0,0.0,0
PRV51045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,29.0,270.64516129032256,8390.0,3300.0,602.7212483609703,80.0,1.2903225806451613,40.0,2.2580645161290325,70.0,20.0,5.591468155058406,16.0,4.0,8.0,1.0689655172413792,119.85714285714286,289.3103448275862,79.0,0.0,0
PRV51046,8.0,7.0,12625.0,101000.0,38000.0,11160.357137142675,10000.0,1068.0,8544.0,4.5,36.0,9.0,3.0237157840738176,4.5,36.0,9.0,3.0237157840738176,1.0,1.0,1.0,1.1428571428571428,2805.5555555555557,14428.57142857143,3.0,63.0,5.0,30.0,19.0,279.0,8370.0,2000.0,468.2273983351723,100.0,3.3333333333333335,100.0,0.8666666666666667,26.0,20.0,3.7299656403458896,5.0,2.0,3.0,1.5789473684210527,321.9230769230769,440.5263157894737,68.0,0.0,0
PRV51047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,230.0,2530.0,1300.0,371.80640123591206,100.0,0.0,0.0,3.090909090909091,34.0,20.0,6.8184242381146305,10.0,1.0,5.0,1.0,74.41176470588235,230.0,22.0,0.0,0
PRV51048,4.0,4.0,4750.0,19000.0,7000.0,1707.825127659933,4500.0,1068.0,4272.0,4.75,19.0,10.0,3.8622100754188224,4.75,19.0,10.0,3.8622100754188224,4.0,3.0,0.0,1.0,1000.0,4750.0,7.0,34.0,3.0,34.0,30.0,255.88235294117646,8700.0,3300.0,569.822501055765,95.0,2.3529411764705883,80.0,0.11764705882352941,4.0,3.0,0.5373732906238788,11.0,4.0,8.0,1.1333333333333333,2175.0,290.0,77.0,0.0,0
PRV51049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,65.0,305.9154929577465,21720.0,3300.0,644.0465321804644,70.0,2.676056338028169,190.0,1.7887323943661972,127.0,20.0,5.593147575273941,35.0,11.0,21.0,1.0923076923076922,171.0236220472441,334.15384615384613,168.0,0.0,0
PRV51052,2.0,2.0,7000.0,14000.0,9000.0,2828.42712474619,7000.0,1068.0,2136.0,9.0,18.0,14.0,7.0710678118654755,9.0,18.0,14.0,7.0710678118654755,2.0,1.0,0.0,1.0,777.7777777777778,7000.0,3.0,17.0,1.0,44.0,36.0,381.8181818181818,16800.0,3300.0,710.726037976014,60.0,4.7727272727272725,210.0,1.9772727272727273,87.0,20.0,5.816930527443093,16.0,5.0,6.0,1.2222222222222223,193.10344827586206,466.6666666666667,125.0,0.0,1
PRV51053,1.0,1.0,8000.0,8000.0,8000.0,0.0,8000.0,1068.0,1068.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,1600.0,8000.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,40.0,265.43859649122805,15130.0,1900.0,417.09056131834507,90.0,2.456140350877193,140.0,2.3508771929824563,134.0,20.0,5.884274527653514,3.0,2.0,2.0,1.425,112.91044776119404,378.25,133.0,0.0,0
PRV51055,2.0,2.0,8350.0,16700.0,16000.0,10818.733752154178,8350.0,1068.0,2136.0,5.5,11.0,6.0,0.7071067811865476,5.5,11.0,6.0,0.7071067811865476,1.0,1.0,0.0,1.0,1518.1818181818182,8350.0,2.0,17.0,2.0,20.0,20.0,247.0,4940.0,2300.0,549.3546453028221,65.0,3.5,70.0,0.1,2.0,2.0,0.4472135954999579,5.0,2.0,3.0,1.0,2470.0,247.0,62.0,0.0,0
PRV51056,2.0,2.0,4000.0,8000.0,5000.0,1414.213562373095,4000.0,1068.0,2136.0,3.0,6.0,5.0,2.8284271247461903,3.0,6.0,5.0,2.8284271247461903,1.0,1.0,0.0,1.0,1333.3333333333333,4000.0,2.0,15.0,2.0,20.0,19.0,335.0,6700.0,2500.0,666.0369833259222,75.0,0.5,10.0,0.5,10.0,4.0,1.1470786693528088,5.0,2.0,4.0,1.0526315789473684,670.0,352.63157894736844,47.0,0.0,0
PRV51057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1366.0,6830.0,3300.0,1273.8838251583227,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.25,0.0,1707.5,20.0,0.0,0
PRV51058,5.0,5.0,18200.0,91000.0,57000.0,22129.166274399042,7000.0,1068.0,5340.0,7.4,37.0,16.0,5.412947441089743,7.4,37.0,16.0,5.412947441089743,5.0,3.0,2.0,1.0,2459.4594594594596,18200.0,10.0,42.0,5.0,78.0,71.0,205.51282051282053,16030.0,2500.0,375.3739172552853,70.0,2.5641025641025643,200.0,0.9102564102564102,71.0,20.0,3.902000477397168,29.0,8.0,15.0,1.0985915492957747,225.77464788732394,225.77464788732394,204.0,0.0,0
PRV51059,25.0,23.0,16040.0,401000.0,57000.0,16539.04471243729,10000.0,1068.0,26700.0,6.88,172.0,35.0,8.125679458769381,6.88,172.0,35.0,8.125679458769381,12.0,11.0,4.0,1.0869565217391304,2331.3953488372094,17434.782608695652,27.0,210.0,22.0,71.0,60.0,282.53521126760563,20060.0,3300.0,538.3751169952022,90.0,3.380281690140845,240.0,0.9295774647887324,66.0,20.0,3.626584160895255,21.0,8.0,14.0,1.1833333333333333,303.93939393939394,334.3333333333333,158.0,0.0,1
PRV51060,5.0,5.0,7000.0,35000.0,14000.0,4301.162633521313,5000.0,1068.0,5340.0,4.8,24.0,9.0,3.420526275297414,4.8,24.0,9.0,3.420526275297414,5.0,0.0,0.0,1.0,1458.3333333333333,7000.0,5.0,42.0,0.0,37.0,37.0,235.40540540540542,8710.0,1020.0,274.0802254267351,90.0,0.0,0.0,1.972972972972973,73.0,20.0,5.7032470599674205,24.0,5.0,8.0,1.0,119.31506849315069,235.40540540540542,97.0,0.0,0
PRV51061,1.0,1.0,3000.0,3000.0,3000.0,0.0,3000.0,1068.0,1068.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,1.0,1.0,0.0,1.0,375.0,3000.0,2.0,7.0,2.0,144.0,66.0,360.69444444444446,51940.0,6700.0,820.8921062105845,100.0,1.8055555555555556,260.0,2.3541666666666665,339.0,20.0,6.161541844546533,6.0,3.0,5.0,2.1818181818181817,153.21533923303835,786.969696969697,323.0,0.0,0
PRV51062,3.0,3.0,15000.0,45000.0,25000.0,10535.653752852739,16000.0,1068.0,3204.0,4.333333333333333,13.0,6.0,2.0816659994661326,4.333333333333333,13.0,6.0,2.0816659994661326,3.0,3.0,0.0,1.0,3461.5384615384614,15000.0,6.0,26.0,5.0,394.0,164.0,275.0761421319797,108380.0,3300.0,560.6681031795838,80.0,1.8781725888324874,740.0,1.5761421319796953,621.0,20.0,4.93783640231035,3.0,3.0,1.0,2.402439024390244,174.52495974235106,660.8536585365854,837.0,0.0,0
PRV51063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,115.0,343.02013422818794,51110.0,3300.0,649.1935794860635,80.0,1.0738255033557047,160.0,1.610738255033557,240.0,20.0,5.119796513845919,3.0,3.0,0.0,1.2956521739130435,212.95833333333334,444.4347826086956,336.0,0.0,0
PRV51064,36.0,34.0,7777.777777777777,280000.0,37000.0,7187.732052844767,6000.0,1068.0,38448.0,5.305555555555555,191.0,29.0,6.4490063218826625,5.305555555555555,191.0,29.0,6.4490063218826625,28.0,17.0,6.0,1.0588235294117647,1465.9685863874345,8235.29411764706,51.0,254.0,21.0,267.0,198.0,300.8239700374532,80320.0,3300.0,539.7222159599519,80.0,1.8726591760299625,500.0,1.4981273408239701,400.0,20.0,4.67867866752451,97.0,32.0,61.0,1.3484848484848484,200.8,405.65656565656565,606.0,0.0,1
PRV51065,10.0,10.0,7500.0,75000.0,11000.0,2915.4759474226503,7500.0,1068.0,9612.0,5.6,56.0,17.0,4.599516882842757,5.6,56.0,17.0,4.599516882842757,3.0,1.0,1.0,1.0,1339.2857142857142,7500.0,5.0,84.0,9.0,18.0,16.0,87.22222222222223,1570.0,300.0,89.62704132095243,55.0,6.111111111111111,110.0,1.4444444444444444,26.0,20.0,4.780133178334509,7.0,3.0,4.0,1.125,60.38461538461539,98.125,49.0,0.0,0
PRV51066,2.0,2.0,9500.0,19000.0,15000.0,7778.174593052023,9500.0,1068.0,2136.0,2.0,4.0,3.0,1.4142135623730951,2.0,4.0,3.0,1.4142135623730951,2.0,2.0,1.0,1.0,4750.0,9500.0,5.0,15.0,2.0,22.0,19.0,263.1818181818182,5790.0,2200.0,502.1893625358426,80.0,4.545454545454546,100.0,1.0,22.0,20.0,4.253849796976627,6.0,5.0,5.0,1.1578947368421053,263.1818181818182,304.7368421052632,62.0,0.0,0
