Provider,IP_NumClaims,IP_NumBeneficiaries,IP_AvgReimbursement,IP_TotalReimbursement,IP_MaxReimbursement,IP_StdReimbursement,IP_MedianReimbursement,IP_AvgDeductible,IP_TotalDeductible,IP_AvgClaimDuration,IP_TotalClaimDuration,IP_MaxClaimDuration,IP_StdClaimDuration,IP_AvgAdmissionDuration,IP_TotalAdmissionDuration,IP_MaxAdmissionDuration,IP_StdAdmissionDuration,IP_NumAttendingPhysicians,IP_NumOperatingPhysicians,IP_NumOtherPhysicians,IP_ClaimsPerBeneficiary,IP_ReimbursementPerDay,IP_ReimbursementPerBeneficiary,IP_TotalPhysicians,IP_TotalUniqueDiagnoses,IP_TotalUniqueProcedures
PRV51046,8,7,12625.0,101000,38000,11160.357137142675,10000.0,1068.0,8544.0,4.5,36,9,3.0237157840738176,4.5,36,9,3.0237157840738176,1,1,1,1.1428571428571428,2805.5555555555557,14428.57142857143,3,63,5
PRV51048,4,4,4750.0,19000,7000,1707.825127659933,4500.0,1068.0,4272.0,4.75,19,10,3.8622100754188224,4.75,19,10,3.8622100754188224,4,3,0,1.0,1000.0,4750.0,7,34,3
PRV51052,2,2,7000.0,14000,9000,2828.42712474619,7000.0,1068.0,2136.0,9.0,18,14,7.0710678118654755,9.0,18,14,7.0710678118654755,2,1,0,1.0,777.7777777777778,7000.0,3,17,1
PRV51053,1,1,8000.0,8000,8000,0.0,8000.0,1068.0,1068.0,5.0,5,5,0.0,5.0,5,5,0.0,1,1,1,1.0,1600.0,8000.0,3,9,1
PRV51055,2,2,8350.0,16700,16000,10818.733752154178,8350.0,1068.0,2136.0,5.5,11,6,0.7071067811865476,5.5,11,6,0.7071067811865476,1,1,0,1.0,1518.1818181818182,8350.0,2,17,2
PRV51056,2,2,4000.0,8000,5000,1414.213562373095,4000.0,1068.0,2136.0,3.0,6,5,2.8284271247461903,3.0,6,5,2.8284271247461903,1,1,0,1.0,1333.3333333333333,4000.0,2,15,2
PRV51058,5,5,18200.0,91000,57000,22129.166274399042,7000.0,1068.0,5340.0,7.4,37,16,5.412947441089743,7.4,37,16,5.412947441089743,5,3,2,1.0,2459.4594594594596,18200.0,10,42,5
PRV51059,25,23,16040.0,401000,57000,16539.04471243729,10000.0,1068.0,26700.0,6.88,172,35,8.125679458769381,6.88,172,35,8.125679458769381,12,11,4,1.0869565217391304,2331.3953488372094,17434.782608695652,27,210,22
PRV51060,5,5,7000.0,35000,14000,4301.162633521313,5000.0,1068.0,5340.0,4.8,24,9,3.420526275297414,4.8,24,9,3.420526275297414,5,0,0,1.0,1458.3333333333333,7000.0,5,42,0
PRV51061,1,1,3000.0,3000,3000,0.0,3000.0,1068.0,1068.0,8.0,8,8,0.0,8.0,8,8,0.0,1,1,0,1.0,375.0,3000.0,2,7,2
PRV51062,3,3,15000.0,45000,25000,10535.653752852739,16000.0,1068.0,3204.0,4.333333333333333,13,6,2.0816659994661326,4.333333333333333,13,6,2.0816659994661326,3,3,0,1.0,3461.5384615384614,15000.0,6,26,5
PRV51064,36,34,7777.777777777777,280000,37000,7187.732052844767,6000.0,1068.0,38448.0,5.305555555555555,191,29,6.4490063218826625,5.305555555555555,191,29,6.4490063218826625,28,17,6,1.0588235294117647,1465.9685863874345,8235.29411764706,51,254,21
PRV51065,10,10,7500.0,75000,11000,2915.4759474226503,7500.0,1068.0,9612.0,5.6,56,17,4.599516882842757,5.6,56,17,4.599516882842757,3,1,1,1.0,1339.2857142857142,7500.0,5,84,9
PRV51066,2,2,9500.0,19000,15000,7778.174593052023,9500.0,1068.0,2136.0,2.0,4,3,1.4142135623730951,2.0,4,3,1.4142135623730951,2,2,1,1.0,4750.0,9500.0,5,15,2
PRV51067,12,11,27166.666666666668,326000,83000,23241.159935586587,20500.0,1068.0,12816.0,6.583333333333333,79,23,6.473137967903599,6.583333333333333,79,23,6.473137967903599,6,4,2,1.0909090909090908,4126.5822784810125,29636.363636363636,12,106,12
PRV51068,9,9,8555.555555555555,77000,19000,5126.185499743233,8000.0,1068.0,8544.0,3.0,27,6,1.7320508075688774,3.0,27,6,1.7320508075688774,8,3,0,1.0,2851.8518518518517,8555.555555555555,11,70,3
PRV51070,10,10,10100.0,101000,22000,5952.590472502987,10000.0,1068.0,10680.0,4.1,41,15,4.175324338699131,4.1,41,15,4.175324338699131,10,4,2,1.0,2463.4146341463415,10100.0,16,77,6
PRV51072,12,12,6000.0,72000,14000,3741.657386773941,4000.0,1068.0,11748.0,4.25,51,13,3.0785179433085537,4.25,51,13,3.0785179433085537,10,7,1,1.0,1411.764705882353,6000.0,18,105,6
PRV51074,5,5,6200.0,31000,15000,5215.361924162119,3000.0,1068.0,5340.0,2.6,13,4,1.140175425099138,2.6,13,4,1.140175425099138,4,1,2,1.0,2384.6153846153848,6200.0,7,41,1
PRV51077,16,13,12437.5,199000,56000,13559.590701787425,6000.0,1068.0,16020.0,5.9375,95,19,5.2848052628897,5.9375,95,19,5.2848052628897,1,1,0,1.2307692307692308,2094.7368421052633,15307.692307692309,2,120,8
PRV51078,9,9,8444.444444444445,76000,16000,4772.607021092118,9000.0,1068.0,8544.0,6.666666666666667,60,21,6.324555320336759,6.666666666666667,60,21,6.324555320336759,3,3,1,1.0,1266.6666666666667,8444.444444444445,7,77,8
PRV51081,6,6,13166.666666666666,79000,48000,17279.081765726634,8000.0,1068.0,6408.0,6.0,36,10,2.449489742783178,6.0,36,10,2.449489742783178,1,2,1,1.0,2194.4444444444443,13166.666666666666,4,50,9
PRV51084,20,19,9550.0,191000,45000,11311.26592570899,6000.0,1068.0,21360.0,5.65,113,28,6.784463675812632,5.65,113,28,6.784463675812632,14,9,2,1.0526315789473684,1690.2654867256638,10052.631578947368,25,158,11
PRV51086,31,30,13322.58064516129,413000,57000,12765.545024986057,9000.0,1068.0,33108.0,4.838709677419355,150,11,3.034213508127473,4.838709677419355,150,11,3.034213508127473,12,8,4,1.0333333333333334,2753.3333333333335,13766.666666666666,24,243,24
PRV51089,18,18,9833.333333333334,177000,41000,10251.25530333323,5500.0,1068.0,18156.0,5.166666666666667,93,14,3.869184440588755,5.166666666666667,93,14,3.869184440588755,11,12,3,1.0,1903.225806451613,9833.333333333334,26,142,16
PRV51093,2,2,5500.0,11000,11000,7778.174593052023,5500.0,1068.0,2136.0,6.0,12,11,7.0710678118654755,6.0,12,11,7.0710678118654755,1,1,0,1.0,916.6666666666666,5500.0,2,18,2
PRV51100,5,5,15600.0,78000,33000,11436.782764396638,17000.0,1068.0,5340.0,6.0,30,9,2.449489742783178,6.0,30,9,2.449489742783178,3,1,1,1.0,2600.0,15600.0,5,43,4
PRV51101,3,3,5533.333333333333,16600,13000,6576.726642740547,3000.0,1068.0,3204.0,3.3333333333333335,10,6,2.516611478423583,3.3333333333333335,10,6,2.516611478423583,1,1,0,1.0,1660.0,5533.333333333333,2,22,1
PRV51102,12,11,12333.333333333334,148000,47000,12017.663767315278,9000.0,1068.0,12816.0,4.0,48,10,3.0451153135353137,4.0,48,10,3.0451153135353137,3,1,1,1.0909090909090908,3083.3333333333335,13454.545454545454,5,97,10
PRV51108,19,19,8210.526315789473,156000,22000,5633.027086038801,7000.0,1068.0,19224.0,5.2631578947368425,100,16,3.997806416067551,5.2631578947368425,100,16,3.997806416067551,6,3,0,1.0,1560.0,8210.526315789473,9,134,6
PRV51109,3,3,6000.0,18000,8000,2645.7513110645905,7000.0,1068.0,3204.0,6.333333333333333,19,9,3.0550504633038935,6.333333333333333,19,9,3.0550504633038935,1,2,0,1.0,947.3684210526316,6000.0,3,26,4
PRV51110,5,5,5400.0,27000,9000,2509.980079602227,4000.0,1068.0,5340.0,10.2,51,28,11.122050170719426,10.2,51,28,11.122050170719426,3,3,0,1.0,529.4117647058823,5400.0,6,46,4
PRV51118,16,16,8500.0,136000,22000,5738.757124441959,7500.0,1068.0,14952.0,4.25,68,13,2.695675549220764,4.25,68,13,2.695675549220764,4,4,1,1.0,2000.0,8500.0,9,121,14
PRV51119,94,81,10478.72340425532,985000,118000,13905.772548863895,6000.0,1068.0,96120.0,5.968085106382978,561,35,5.945002650025318,5.9787234042553195,562,35,5.951377762964713,8,7,7,1.1604938271604939,1752.6690391459074,12160.493827160493,22,595,51
PRV51120,7,7,7428.571428571428,52000,15000,4649.628761422531,8000.0,1068.0,7476.0,4.142857142857143,29,6,1.864454471471609,4.142857142857143,29,6,1.864454471471609,1,1,0,1.0,1793.103448275862,7428.571428571428,2,60,5
PRV51121,6,6,13500.0,81000,45000,16404.26773739078,5500.0,1068.0,6408.0,6.5,39,10,3.1464265445104544,6.5,39,10,3.1464265445104544,3,3,2,1.0,2076.923076923077,13500.0,8,44,5
PRV51123,2,2,4500.0,9000,5000,707.1067811865476,4500.0,1068.0,2136.0,2.5,5,4,2.1213203435596424,2.5,5,4,2.1213203435596424,2,1,0,1.0,1800.0,4500.0,3,18,1
PRV51125,12,12,9166.666666666666,110000,30000,8122.173167921069,6500.0,1068.0,12816.0,4.333333333333333,52,11,3.550501458394378,4.333333333333333,52,11,3.550501458394378,12,6,0,1.0,2115.3846153846152,9166.666666666666,18,99,10
PRV51126,20,14,8850.0,177000,25000,6200.806399170997,7500.0,1068.0,21360.0,6.5,130,28,7.126673395365507,6.5,130,28,7.126673395365507,2,2,0,1.4285714285714286,1361.5384615384614,12642.857142857143,4,146,12
PRV51128,5,3,18000.0,90000,29000,10295.630140987001,19000.0,1068.0,5340.0,6.4,32,12,3.7815340802378077,6.4,32,12,3.7815340802378077,1,1,0,1.6666666666666667,2812.5,30000.0,2,42,3
PRV51132,1,1,4000.0,4000,4000,0.0,4000.0,1068.0,1068.0,4.0,4,4,0.0,4.0,4,4,0.0,1,1,0,1.0,1000.0,4000.0,2,7,1
PRV51136,1,1,20000.0,20000,20000,0.0,20000.0,1068.0,1068.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,0,1.0,10000.0,20000.0,2,9,2
PRV51137,1,1,6000.0,6000,6000,0.0,6000.0,1068.0,1068.0,7.0,7,7,0.0,7.0,7,7,0.0,1,1,0,1.0,857.1428571428571,6000.0,2,9,1
PRV51138,1,1,6000.0,6000,6000,0.0,6000.0,1068.0,1068.0,1.0,1,1,0.0,1.0,1,1,0.0,1,1,0,1.0,6000.0,6000.0,2,5,1
PRV51139,7,7,5900.0,41300,14000,3911.947511576981,4000.0,1068.0,7476.0,3.857142857142857,27,8,2.7945525240230875,3.857142857142857,27,8,2.7945525240230875,6,1,1,1.0,1529.6296296296296,5900.0,8,60,1
PRV51140,47,45,6540.425531914893,307400,16000,4119.500791541113,6000.0,1068.0,49128.0,6.0212765957446805,283,29,6.05227000784983,6.0212765957446805,283,29,6.05227000784983,2,2,0,1.0444444444444445,1086.2190812720848,6831.111111111111,4,321,20
PRV51142,7,5,13857.142857142857,97000,57000,19701.341506173052,5000.0,1068.0,7476.0,7.428571428571429,52,22,6.996597812678742,7.428571428571429,52,22,6.996597812678742,2,2,1,1.4,1865.3846153846155,19400.0,5,61,6
PRV51144,4,4,13250.0,53000,33000,13475.286020464773,8500.0,1068.0,4272.0,5.0,20,13,5.354126134736337,5.0,20,13,5.354126134736337,4,3,0,1.0,2650.0,13250.0,7,35,3
PRV51145,161,125,9941.614906832297,1600600,46000,8862.015565083171,7000.0,1068.0,166608.0,5.937888198757764,956,35,5.788662886403248,5.937888198757764,956,35,5.788662886403248,1,1,0,1.288,1674.2677824267782,12804.8,2,922,83
PRV51146,162,157,9988.888888888889,1618200,57000,9909.534902687294,7000.0,1068.0,170880.0,5.049382716049383,818,30,4.572130630087179,5.049382716049383,818,30,4.572130630087179,5,5,1,1.0318471337579618,1978.239608801956,10307.006369426752,11,937,77
PRV51148,34,33,11717.64705882353,398400,37000,9772.951869076922,8500.0,1068.0,35244.0,4.029411764705882,137,15,2.575941065080195,4.029411764705882,137,15,2.575941065080195,19,19,6,1.0303030303030303,2908.029197080292,12072.727272727272,44,246,26
PRV51149,116,108,9594.827586206897,1113000,57000,8857.302021521551,7000.0,1068.0,123888.0,5.612068965517241,651,26,5.181524958885195,5.612068965517241,651,26,5.181524958885195,1,1,0,1.0740740740740742,1709.6774193548388,10305.555555555555,2,718,61
PRV51151,22,22,6454.545454545455,142000,16000,4067.610422035835,5000.0,1068.0,22428.0,4.181818181818182,92,9,2.5002164408471224,4.181818181818182,92,9,2.5002164408471224,20,12,4,1.0,1543.4782608695652,6454.545454545455,36,163,12
PRV51153,4,4,12750.0,51000,34000,14314.910641239318,7000.0,1068.0,4272.0,8.75,35,15,7.22841614740048,8.75,35,15,7.22841614740048,4,4,0,1.0,1457.142857142857,12750.0,8,30,5
PRV51159,65,60,9779.384615384615,635660,57000,8873.239240287878,8000.0,1068.0,69420.0,5.630769230769231,366,35,5.891119457415413,5.630769230769231,366,35,5.891119457415413,1,1,0,1.0833333333333333,1736.775956284153,10594.333333333334,2,419,35
PRV51160,90,87,9622.222222222223,866000,57000,9706.453057698182,6500.0,1068.0,96120.0,5.655555555555556,509,30,5.808094141201456,5.655555555555556,509,30,5.808094141201456,4,3,1,1.0344827586206897,1701.3752455795677,9954.022988505747,8,607,51
PRV51164,41,40,10804.878048780487,443000,41000,9505.83902713254,7000.0,1068.0,43788.0,6.2926829268292686,258,30,6.357058684796862,6.2926829268292686,258,30,6.357058684796862,2,1,0,1.025,1717.0542635658915,11075.0,3,312,23
PRV51165,26,26,11769.23076923077,306000,57000,13063.866785321083,6000.0,1068.0,27768.0,6.576923076923077,171,35,7.294782118325821,6.576923076923077,171,35,7.294782118325821,19,18,5,1.0,1789.4736842105262,11769.23076923077,42,202,22
PRV51166,1,1,22000.0,22000,22000,0.0,22000.0,1068.0,1068.0,16.0,16,16,0.0,16.0,16,16,0.0,1,1,0,1.0,1375.0,22000.0,2,8,1
PRV51168,9,9,7000.0,63000,25000,7000.0,5000.0,1068.0,9612.0,5.222222222222222,47,15,4.294699575575042,5.222222222222222,47,15,4.294699575575042,5,4,1,1.0,1340.4255319148936,7000.0,10,62,6
PRV51170,8,8,18125.0,145000,57000,19628.24131558549,7000.0,1068.0,8544.0,6.25,50,27,8.73007936471861,6.25,50,27,8.73007936471861,4,5,1,1.0,2900.0,18125.0,10,62,8
PRV51173,7,7,12857.142857142857,90000,29000,9172.941575244942,12000.0,1068.0,7476.0,7.857142857142857,55,23,7.798046153333782,7.857142857142857,55,23,7.798046153333782,6,6,1,1.0,1636.3636363636363,12857.142857142857,13,52,8
PRV51178,34,33,12411.764705882353,422000,43000,10348.81825213325,8000.0,1068.0,36312.0,7.970588235294118,271,35,8.50128437397139,7.970588235294118,271,35,8.50128437397139,1,1,0,1.0303030303030303,1557.1955719557195,12787.878787878788,2,272,24
PRV51180,2,2,23500.0,47000,41000,24748.737341529162,23500.0,1068.0,2136.0,1.5,3,2,0.7071067811865476,1.5,3,2,0.7071067811865476,1,1,0,1.0,15666.666666666666,23500.0,2,14,1
PRV51183,41,41,8214.634146341463,336800,38000,9372.768026992073,5000.0,1068.0,42720.0,4.658536585365853,191,28,4.983019948272136,4.658536585365853,191,28,4.983019948272136,3,3,2,1.0,1763.3507853403141,8214.634146341463,8,292,22
PRV51190,3,3,8000.0,24000,15000,6244.9979983983985,6000.0,1068.0,3204.0,3.6666666666666665,11,5,1.5275252316519465,3.6666666666666665,11,5,1.5275252316519465,3,2,0,1.0,2181.818181818182,8000.0,5,23,2
PRV51194,2,2,9000.0,18000,14000,7071.067811865475,9000.0,1068.0,2136.0,3.0,6,5,2.8284271247461903,3.0,6,5,2.8284271247461903,1,1,0,1.0,3000.0,9000.0,2,17,1
PRV51207,3,3,17000.0,51000,38000,19313.207915827967,13000.0,1068.0,3204.0,14.0,42,35,18.35755975068582,14.0,42,35,18.35755975068582,2,2,1,1.0,1214.2857142857142,17000.0,5,23,3
PRV51231,2,2,8000.0,16000,8000,0.0,8000.0,1068.0,2136.0,9.5,19,17,10.606601717798213,9.5,19,17,10.606601717798213,1,1,0,1.0,842.1052631578947,8000.0,2,15,3
PRV51232,1,1,26000.0,26000,26000,0.0,26000.0,1068.0,1068.0,9.0,9,9,0.0,9.0,9,9,0.0,1,1,1,1.0,2888.8888888888887,26000.0,3,9,1
PRV51233,3,3,9000.0,27000,17000,7549.83443527075,8000.0,1068.0,3204.0,4.333333333333333,13,6,2.081665999466133,4.333333333333333,13,6,2.081665999466133,2,1,1,1.0,2076.923076923077,9000.0,4,17,2
PRV51234,5,5,5800.0,29000,13000,5167.204273105525,4000.0,1068.0,5340.0,8.2,41,20,7.791020472312982,8.2,41,20,7.791020472312982,1,1,1,1.0,707.3170731707318,5800.0,3,42,6
PRV51235,2,2,5000.0,10000,5000,0.0,5000.0,1068.0,2136.0,2.5,5,3,0.7071067811865476,2.5,5,3,0.7071067811865476,1,1,0,1.0,2000.0,5000.0,2,13,1
PRV51236,1,1,12000.0,12000,12000,0.0,12000.0,1068.0,1068.0,1.0,1,1,0.0,1.0,1,1,0.0,1,1,0,1.0,12000.0,12000.0,2,6,0
PRV51237,1,1,19000.0,19000,19000,0.0,19000.0,1068.0,1068.0,1.0,1,1,0.0,1.0,1,1,0.0,1,1,0,1.0,19000.0,19000.0,2,4,1
PRV51238,8,8,16500.0,132000,33000,11122.692377040989,13500.0,1068.0,4272.0,13.625,109,35,10.487237141265703,13.625,109,35,10.487237141265703,1,1,0,1.0,1211.0091743119267,16500.0,2,70,5
PRV51239,1,1,5000.0,5000,5000,0.0,5000.0,1068.0,1068.0,3.0,3,3,0.0,3.0,3,3,0.0,1,0,0,1.0,1666.6666666666667,5000.0,1,9,0
PRV51240,11,11,7363.636363636364,81000,19000,5371.642714714509,6000.0,1068.0,11748.0,5.545454545454546,61,18,5.520210799664019,5.545454545454546,61,18,5.520210799664019,7,7,1,1.0,1327.8688524590164,7363.636363636364,15,86,8
PRV51241,10,9,7800.0,78000,22000,5613.475849338902,6500.0,1068.0,9612.0,6.8,68,35,10.685400216078841,6.8,68,35,10.685400216078841,8,3,1,1.1111111111111112,1147.0588235294117,8666.666666666666,12,80,5
PRV51242,11,10,8000.0,88000,18000,5196.152422706632,7000.0,1068.0,10680.0,5.545454545454546,61,35,9.923342545368836,5.545454545454546,61,35,9.923342545368836,10,6,2,1.1,1442.622950819672,8800.0,18,85,8
PRV51244,200,166,8980.5,1796100,57000,8186.314707636298,6500.0,1068.0,209328.0,5.885,1177,35,6.309582327359604,5.885,1177,35,6.309582327359604,4,4,0,1.2048192771084338,1525.9983007646558,10819.87951807229,8,1140,81
PRV51245,4,4,5000.0,20000,9000,2708.01280154532,4000.0,1068.0,3204.0,2.75,11,4,1.5,2.75,11,4,1.5,2,2,1,1.0,1818.1818181818182,5000.0,5,35,3
PRV51247,10,7,7400.0,74000,18000,5680.375574437545,5000.0,1068.0,9612.0,3.8,38,13,3.6453928305312844,3.8,38,13,3.6453928305312844,3,3,1,1.4285714285714286,1947.3684210526317,10571.42857142857,7,80,6
PRV51248,1,1,23000.0,23000,23000,0.0,23000.0,1068.0,1068.0,6.0,6,6,0.0,6.0,6,6,0.0,1,1,0,1.0,3833.3333333333335,23000.0,2,9,1
PRV51249,51,40,9921.56862745098,506000,57000,11625.563448289122,5000.0,1068.0,51264.0,7.215686274509804,368,35,9.662947222230278,7.294117647058823,372,35,9.677384187159376,7,7,1,1.275,1360.215053763441,12650.0,15,338,26
PRV51252,18,18,7888.888888888889,142000,27000,7267.080398367688,6500.0,1068.0,18156.0,4.111111111111111,74,17,3.6443169115259426,4.111111111111111,74,17,3.6443169115259426,12,9,2,1.0,1918.918918918919,7888.888888888889,23,124,10
PRV51255,2,2,5500.0,11000,7000,2121.3203435596424,5500.0,1068.0,2136.0,5.0,10,8,4.242640687119285,5.0,10,8,4.242640687119285,2,1,0,1.0,1100.0,5500.0,3,13,2
PRV51258,8,7,12250.0,98000,28000,7778.174593052023,11000.0,1068.0,8544.0,4.5,36,7,1.8516401995451028,4.5,36,7,1.8516401995451028,1,1,1,1.1428571428571428,2722.222222222222,14000.0,3,63,6
PRV51259,4,3,37500.0,150000,84000,39837.16857408418,33000.0,1068.0,4272.0,6.25,25,15,6.13052471924984,6.25,25,15,6.13052471924984,3,1,0,1.3333333333333333,6000.0,50000.0,4,28,4
PRV51260,3,3,26000.0,78000,43000,19313.207915827967,30000.0,1068.0,3204.0,8.666666666666666,26,19,8.962886439832502,8.666666666666666,26,19,8.962886439832502,3,1,1,1.0,3000.0,26000.0,5,27,2
PRV51261,26,25,9423.076923076924,245000,29000,7294.782118325821,7000.0,1068.0,26700.0,5.576923076923077,145,29,6.413567350067055,5.576923076923077,145,29,6.413567350067055,15,12,3,1.04,1689.655172413793,9800.0,30,179,20
PRV51263,18,15,11666.666666666666,210000,57000,12884.098726725124,8000.0,1068.0,19224.0,9.166666666666666,165,31,9.082951062292475,9.166666666666666,165,31,9.082951062292475,3,1,1,1.2,1272.7272727272727,14000.0,5,144,11
PRV51266,10,10,7830.0,78300,33000,10148.897039142288,4500.0,1068.0,9612.0,6.9,69,18,5.839520528262573,6.9,69,18,5.839520528262573,8,4,1,1.0,1134.7826086956522,7830.0,13,71,4
PRV51267,2,2,4500.0,9000,6000,2121.3203435596424,4500.0,1068.0,2136.0,3.0,6,4,1.4142135623730951,3.0,6,4,1.4142135623730951,1,1,0,1.0,1500.0,4500.0,2,18,2
PRV51271,2,2,8500.0,17000,13000,6363.961030678927,8500.0,1068.0,2136.0,4.0,8,7,4.242640687119285,4.0,8,7,4.242640687119285,2,1,0,1.0,2125.0,8500.0,3,19,0
PRV51272,2,2,11000.0,22000,18000,9899.494936611665,11000.0,1068.0,2136.0,3.0,6,4,1.4142135623730951,3.0,6,4,1.4142135623730951,2,0,0,1.0,3666.6666666666665,11000.0,2,20,0
PRV51274,10,10,16500.0,165000,59000,18506.75552332175,9500.0,1068.0,10680.0,3.6,36,9,2.913569784454954,3.6,36,9,2.913569784454954,9,6,3,1.0,4583.333333333333,16500.0,18,80,6
PRV51276,14,12,8285.714285714286,116000,20000,5594.345654024543,6000.0,1068.0,14952.0,4.357142857142857,61,16,3.7129118338191502,4.357142857142857,61,16,3.7129118338191502,10,6,4,1.1666666666666667,1901.639344262295,9666.666666666666,20,108,7
PRV51277,10,10,12100.0,121000,53000,15044.009512833412,6500.0,1068.0,10680.0,5.0,50,13,4.08248290463863,5.0,50,13,4.08248290463863,6,6,0,1.0,2420.0,12100.0,12,83,9
PRV51282,8,8,8250.0,66000,24000,6819.090848492928,6500.0,1068.0,8544.0,3.375,27,5,1.5059406173077154,3.625,29,5,1.1877349391654208,7,5,3,1.0,2275.862068965517,8250.0,15,65,5
PRV51284,17,17,10705.882352941177,182000,51000,12312.41601942097,8000.0,1068.0,17088.0,5.764705882352941,98,21,5.2264879671332105,5.764705882352941,98,21,5.2264879671332105,2,1,0,1.0,1857.142857142857,10705.882352941177,3,137,8
PRV51285,15,13,10733.333333333334,161000,57000,13992.174683763506,6000.0,1068.0,16020.0,7.333333333333333,110,19,5.472876844254853,7.333333333333333,110,19,5.472876844254853,8,4,1,1.1538461538461537,1463.6363636363637,12384.615384615385,13,110,7
PRV51286,15,12,9066.666666666666,136000,33000,9223.159256278006,6000.0,1068.0,16020.0,5.2,78,11,2.8334733858943215,5.2,78,11,2.8334733858943215,3,2,1,1.25,1743.5897435897436,11333.333333333334,6,111,11
PRV51288,3,3,12333.333333333334,37000,29000,14433.756729740644,4000.0,1068.0,3204.0,3.3333333333333335,10,5,1.5275252316519465,3.3333333333333335,10,5,1.5275252316519465,2,2,0,1.0,3700.0,12333.333333333334,4,23,2
